+---------------------------------------------------------------------+------------------------+
|                                name                                 |          city          |
| Marshall Middle School                                              | Billerica              |
| Parker                                                              | Billerica              |
| Thomas Ditson                                                       | Billerica              |
| Blackstone Valley                                                   | Upton                  |
| A F Maloney                                                         | Blackstone             |
| Blackstone Millville RHS                                            | Blackstone             |
| Frederick W. Hartnett Middle School                                 | Blackstone             |
| John F Kennedy Elementary                                           | Blackstone             |
| Millville Elementary                                                | Millville              |
| Blue Hills Regional Vocational Technical                            | Canton                 |
| Adams Elementary School                                             | East Boston            |
| Alighieri Dante Montessori School                                   | East Boston            |
| Another Course To College                                           | Hyde Park              |
| Baldwin Early Learning Pilot Academy                                | Brighton               |
| Bates Elementary School                                             | Roslindale             |
| Beethoven Elementary School                                         | West Roxbury           |
| Blackstone Elementary School                                        | Boston                 |
| Boston Adult Tech Academy                                           | Back Bay               |
| Boston Arts Academy                                                 | Boston                 |
| Boston Collaborative High School                                    | South Boston           |
| Boston Community Leadership Academy                                 | Hyde Park              |
| Boston International High School & Newcomers Academy                | Dorchester             |
| Boston Latin Academy                                                | Dorchester             |
| Boston Latin School                                                 | Boston                 |
| Boston Teachers Union K-8 Pilot                                     | Jamaica Plain          |
| Bradley Elementary School                                           | East Boston            |
| Brighton High School                                                | Brighton               |
| Burke High School                                                   | Dorchester             |
| Carter School                                                       | Dorchester             |
| Channing Elementary School                                          | Hyde Park              |
| Charlestown High School                                             | Charlestown            |
| Chittick Elementary School                                          | Mattapan               |
| Clap Elementary School                                              | Dorchester             |
| Community Academy                                                   | Jamaica Plain          |
| Community Academy of Science and Health                             | Dorchester             |
| Condon K-8 School                                                   | South Boston           |
| Conley Elementary School                                            | Roslindale             |
| Curley K-8 School                                                   | Jamaica Plain          |
| Dearborn 6-12 STEM Academy                                          | Roxbury                |
| Dever Elementary School                                             | Dorchester             |
| East Boston Early Education Center                                  | East Boston            |
| East Boston High School                                             | East Boston            |
| Edison K-8 School                                                   | Brighton               |
| Eliot K-8 Innovation School                                         | Boston                 |
| Ellis Elementary School                                             | Roxbury                |
| Ellison-Parks Early Education School                                | Mattapan               |
| English High School                                                 | Jamaica Plain          |
| Everett Elementary School                                           | Dorchester             |
| Excel High School                                                   | South Boston           |
| Fenway High School                                                  | Roxbury                |
| Frederick Pilot Middle School                                       | Dorchester             |
| Gardner Pilot Academy                                               | Allston                |
| Greater Egleston High School                                        | Roxbury                |
| Greenwood Sarah K-8 School                                          | Dorchester             |
| Grew Elementary School                                              | Hyde Park              |
| Guild Elementary School                                             | East Boston            |
| Hale Elementary School                                              | Roxbury                |
| Haley Pilot School                                                  | Roslindale             |
| Harvard-Kent Elementary School                                      | Charlestown            |
| Haynes Early Education Center                                       | Roxbury                |
| Henderson K-12 Inclusion School Lower                               | Dorchester             |
| Henderson K-12 Inclusion School Upper                               | Dorchester             |
| Hennigan K-8 School                                                 | Jamaica Plain          |
| Hernandez K-8 School                                                | Roxbury                |
| Higginson Inclusion K0-2 School                                     | Roxbury                |
| Higginson-Lewis K-8 School                                          | Roxbury                |
| Holmes Elementary School                                            | Dorchester             |
| Horace Mann School for the Deaf Hard of Hearing                     | Allston                |
| Hurley K-8 School                                                   | Boston                 |
| Kennedy John F Elementary School                                    | Jamaica Plain          |
| Kennedy Patrick J Elementary School                                 | East Boston            |
| Kenny Elementary School                                             | Dorchester             |
| Kilmer K-8 School                                                   | West Roxbury           |
| King Elementary School                                              | Dorchester             |
| Lee Academy                                                         | Dorchester             |
| Lee K-8 School                                                      | Dorchester             |
| Lyndon K-8 School                                                   | West Roxbury           |
| Lyon High School                                                    | Brighton               |
| Lyon K-8 School                                                     | Brighton               |
| Madison Park Technical Vocational High School                       | Roxbury                |
| Manning Elementary School                                           | Jamaica Plain          |
| Margarita Muniz Academy                                             | Boston                 |
| Mario Umana Academy                                                 | East Boston            |
| Mason Elementary School                                             | Roxbury                |
| Mather Elementary School                                            | Dorchester             |
| Mattahunt Elementary School                                         | Mattapan               |
| McKay K-8 School                                                    | East Boston            |
| McKinley Schools                                                    | Boston                 |
| Mendell Elementary School                                           | Roxbury                |
| Mildred Avenue K-8 School                                           | Mattapan               |
| Mozart Elementary School                                            | Roslindale             |
| Murphy K-8 School                                                   | Dorchester             |
| New Mission High School                                             | Hyde Park              |
| O'Bryant School of Math & Science                                   | Roxbury                |
| O'Donnell Elementary School                                         | East Boston            |
| Ohrenberger School                                                  | West Roxbury           |
| Orchard Gardens K-8 School                                          | Roxbury                |
| Otis Elementary School                                              | East Boston            |
| Perkins Elementary School                                           | South Boston           |
| Perry Elementary School                                             | South Boston           |
| Philbrick Elementary School                                         | Roslindale             |
| Quincy Elementary School                                            | Boston                 |
| Quincy Upper School                                                 | Boston                 |
| Roosevelt K-8 School                                                | Hyde Park              |
| Russell Elementary School                                           | Dorchester             |
| Shaw Elementary School                                              | Dorchester             |
| Snowden International High School                                   | Boston                 |
| Sumner Elementary School                                            | Roslindale             |
| Taylor Elementary School                                            | Mattapan               |
| TechBoston Academy                                                  | Dorchester             |
| Tobin K-8 School                                                    | Roxbury                |
| Trotter Elementary School                                           | Dorchester             |
| Tynan Elementary School                                             | South Boston           |
| UP Academy Holland                                                  | Dorchester             |
| Warren-Prescott K-8 School                                          | Charlestown            |
| West Zone Early Learning Center                                     | Jamaica Plain          |
| Winship Elementary School                                           | Brighton               |
| Winthrop Elementary School                                          | Dorchester             |
| Young Achievers K-8 School                                          | Mattapan               |
| Bourne High School                                                  | Bourne                 |
| Bourne Intermediate School                                          | Bourne                 |
| Bourne Middle School                                                | Bourne                 |
| Bournedale Elementary School                                        | Bournedale             |
| Harry Lee Cole                                                      | Boxford                |
| Spofford Pond                                                       | Boxford                |
| Archie T Morrison                                                   | Braintree              |
| Braintree High                                                      | Braintree              |
| Donald Ross                                                         | Braintree              |
| East Middle School                                                  | Braintree              |
| Highlands                                                           | Braintree              |
| Hollis                                                              | Braintree              |
| Liberty                                                             | Braintree              |
| Mary E Flaherty School                                              | Braintree              |
| Monatiquot Kindergarten Center                                      | Braintree              |
| South Middle School                                                 | Braintree              |
| Eddy Elementary                                                     | Brewster               |
| Stony Brook Elementary                                              | Brewster               |
| Bridgewater Middle School                                           | Bridgewater            |
| Bridgewater-Raynham Regional                                        | Bridgewater            |
| Laliberte Elementary School                                         | Raynham                |
| Merrill Elementary School                                           | Raynham                |
| Mitchell Elementary School                                          | Bridgewater            |
| Raynham Middle School                                               | Raynham                |
| Therapeutic Day School                                              | Bridgewater            |
| Williams Intermediate School                                        | Bridgewater            |
| Brimfield Elementary                                                | Brimfield              |
| Bristol County Agricultural High                                    | Dighton                |
| Bristol-Plymouth Vocational Technical                               | Taunton                |
| Ashfield Middle School                                              | Brockton               |
| Barrett Russell Early Childhood Center                              | Brockton               |
| Brockton Champion High School                                       | Brockton               |
| Brockton High                                                       | Brockton               |
| Brockton Virtual Learning Academy                                   | Brockton               |
| Brookfield                                                          | Brockton               |
| Downey                                                              | Brockton               |
| Dr W Arnone Community School                                        | Brockton               |
| East Middle School                                                  | Brockton               |
| Edgar B Davis                                                       | Brockton               |
| Edison Academy                                                      | Brockton               |
| Gilmore Elementary School                                           | Brockton               |
| Hancock                                                             | Brockton               |
| Huntington Therapeutic Day School                                   | Brockton               |
| John F Kennedy                                                      | Brockton               |
| Louis F Angelo Elementary                                           | Brockton               |
| Manthala George Jr. School                                          | Brockton               |
| Mary E. Baker School                                                | Brockton               |
| North Middle School                                                 | Brockton               |
| Oscar F Raymond                                                     | Brockton               |
| PROMISE College and Career Academy                                  | Brockton               |
| Plouffe Middle School                                               | Brockton               |
| South Middle School                                                 | Brockton               |
| West Middle School                                                  | Brockton               |
| Brookfield Elementary                                               | Brookfield             |
| Brookline Early Education Program at Beacon                         | Brookline              |
| Brookline Early Education Program at Clark Road                     | Brookline              |
| Brookline Early Education Program at Putterham                      | Chestnut Hill          |
| Brookline High                                                      | Brookline              |
| Edith C Baker                                                       | Chestnut Hill          |
| Florida Ruffin Ridley School                                        | Brookline              |
| Heath                                                               | Chestnut Hill          |
| John D Runkle                                                       | Brookline              |
| Lawrence                                                            | Brookline              |
| Michael Driscoll                                                    | Brookline              |
| Pierce                                                              | Brookline              |
| The Lynch Center                                                    | Brookline              |
| William H Lincoln                                                   | Brookline              |
| Burlington High                                                     | Burlington             |
| Fox Hill                                                            | Burlington             |
| Francis Wyman Elementary                                            | Burlington             |
| Marshall Simonds Middle                                             | Burlington             |
| Memorial                                                            | Burlington             |
| Pine Glen Elementary                                                | Burlington             |
| Amigos School                                                       | Cambridge              |
| Cambridge Rindge and Latin                                          | Cambridge              |
| Cambridge Street Upper School                                       | Cambridge              |
| Cambridgeport                                                       | Cambridge              |
| Fletcher/Maynard Academy                                            | Cambridge              |
| Graham and Parks                                                    | Cambridge              |
| Haggerty                                                            | Cambridge              |
| John M Tobin                                                        | Cambridge              |
| Kennedy-Longfellow                                                  | Cambridge              |
| King Open                                                           | Cambridge              |
| Maria L. Baldwin                                                    | Cambridge              |
| Martin Luther King Jr.                                              | Cambridge              |
| Morse                                                               | Cambridge              |
| Peabody                                                             | Cambridge              |
| Putnam Avenue Upper School                                          | Cambridge              |
| Rindge Avenue Upper School                                          | Cambridge              |
| Vassal Lane Upper School                                            | Cambridge              |
| Canton High                                                         | Canton                 |
| Dean S Luce                                                         | Canton                 |
| John F Kennedy                                                      | Canton                 |
| Lt Peter M Hansen                                                   | Canton                 |
| Rodman Early Childhood Center                                       | Canton                 |
| Wm H Galvin Middle                                                  | Canton                 |
| Cape Cod Region Vocational Technical                                | Harwich                |
| Carlisle School                                                     | Carlisle               |
| Carver Elementary School                                            | Carver                 |
| Carver Middle/High School                                           | Carver                 |
| Becket Washington School                                            | Becket                 |
| Craneville                                                          | Dalton                 |
| Kittredge                                                           | Hinsdale               |
| Nessacus Regional Middle School                                     | Dalton                 |
| Wahconah Regional High                                              | Dalton                 |
| Byam School                                                         | Chelmsford             |
| Center Elementary School                                            | Chelmsford             |
| Charles D Harrington                                                | North Chelmsford       |
| Chelmsford High                                                     | North Chelmsford       |
| Col Moses Parker School                                             | Chelmsford             |
| Community Education Center                                          | Chelmsford             |
| McCarthy Middle School                                              | Chelmsford             |
| South Row                                                           | Chelmsford             |
| Chelsea High                                                        | Chelsea                |
| Chelsea Opportunity Academy                                         | Chelsea                |
| Chelsea Virtual Learning Academy                                    | Chelsea                |
| Clark Avenue School                                                 | Chelsea                |
| Edgar A Hooks Elementary                                            | Chelsea                |
| Eugene Wright Science and Technology Academy                        | Chelsea                |
| Frank M Sokolowski Elementary                                       | Chelsea                |
| George F. Kelly Elementary                                          | Chelsea                |
| Joseph A. Browne School                                             | Chelsea                |
| Shurtleff Early Childhood                                           | Chelsea                |
| William A Berkowitz Elementary                                      | Chelsea                |
| New Hingham Regional Elementary                                     | Chesterfield           |
| Barry                                                               | Chicopee               |
| Belcher                                                             | Chicopee               |
| Bellamy Middle                                                      | Chicopee               |
| Bowe                                                                | Chicopee               |
| Bowie                                                               | Chicopee               |
| Chicopee Academy                                                    | Chicopee               |
| Chicopee Comprehensive High School                                  | Chicopee               |
| Chicopee High                                                       | Chicopee               |
| Dupont Middle                                                       | Chicopee               |
| Fairview Elementary                                                 | Chicopee               |
| Gen John J Stefanik                                                 | Chicopee               |
| Lambert-Lavoie                                                      | Chicopee               |
| Litwin                                                              | Chicopee               |
| Streiber Memorial School                                            | Chicopee               |
| Szetela Early Childhood Center                                      | Chicopee               |
| Clarksburg Elementary                                               | Clarksburg             |
| Clinton Elementary                                                  | Clinton                |
| Clinton Middle School                                               | Clinton                |
| Clinton Senior High                                                 | Clinton                |
| Cohasset High School                                                | Cohasset               |
| Cohasset Middle School                                              | Cohasset               |
| Deer Hill                                                           | Cohasset               |
| Joseph Osgood                                                       | Cohasset               |
| Alcott                                                              | Concord                |
| Concord Middle                                                      | Concord                |
| Thoreau                                                             | Concord                |
| Willard                                                             | Concord                |
| Concord Carlisle High                                               | Concord                |
| Conway Grammar                                                      | Conway                 |
| Danvers High                                                        | Danvers                |
| Great Oak                                                           | Danvers                |
| Highlands                                                           | Danvers                |
| Holten Richmond Middle School                                       | Danvers                |
| Ivan G Smith                                                        | Danvers                |
| Riverside                                                           | Danvers                |
| Willis E Thorpe                                                     | Danvers                |
| Andrew B. Cushman School                                            | Dartmouth              |
| Dartmouth High                                                      | Dartmouth              |
| Dartmouth Middle                                                    | North Dartmouth        |
| George H Potter                                                     | North Dartmouth        |
| James M. Quinn School                                               | Dartmouth              |
| Joseph Demello                                                      | South Dartmouth        |
| Avery                                                               | Dedham                 |
| Dedham High                                                         | Dedham                 |
| Dedham Middle School                                                | Dedham                 |
| Early Childhood Center                                              | Dedham                 |
| Greenlodge                                                          | Dedham                 |
| Oakdale                                                             | Dedham                 |
| Riverdale                                                           | Dedham                 |
| Deerfield Elementary                                                | South Deerfield        |
| Dennis-Yarmouth Intermediate School                                 | South Yarmouth         |
| Dennis-Yarmouth Middle School                                       | South Yarmouth         |
| Dennis-Yarmouth Regional High                                       | South Yarmouth         |
| Ezra H Baker Innovation School                                      | West Dennis            |
| Marguerite E Small Elementary                                       | West Yarmouth          |
| Station Avenue Elementary                                           | South Yarmouth         |
| Dighton Elementary                                                  | Dighton                |
| Dighton Middle School                                               | Dighton                |
| Dighton-Rehoboth Regional High School                               | North Dighton          |
