+----------+-----------+--------+
| latitude | longitude |  50m   |
| 7.5      | 73.5      | 27.93  |
| 7.5      | 74.5      | 27.56  |
| 8.5      | 55.5      | 26.537 |
| 8.5      | 56.5      | 26.691 |
| 8.5      | 57.5      | 26.858 |
| 8.5      | 58.5      | 27.033 |
| 8.5      | 59.5      | 27.211 |
| 8.5      | 60.5      | 27.391 |
| 8.5      | 61.5      | 27.568 |
| 8.5      | 62.5      | 27.74  |
| 8.5      | 63.5      | 27.904 |
| 8.5      | 64.5      | 28.054 |
| 8.5      | 65.5      | 28.185 |
| 8.5      | 66.5      | 28.295 |
| 8.5      | 67.5      | 28.377 |
| 8.5      | 68.5      | 28.426 |
| 8.5      | 69.5      | 28.433 |
| 8.5      | 70.5      | 28.39  |
| 8.5      | 71.5      | 28.281 |
| 8.5      | 72.5      | 28.082 |
| 8.5      | 73.5      | 27.77  |
| 8.5      | 74.5      | 27.339 |
| 9.5      | 55.5      | 26.338 |
| 9.5      | 56.5      | 26.509 |
| 9.5      | 57.5      | 26.675 |
| 9.5      | 58.5      | 26.841 |
| 9.5      | 59.5      | 27.009 |
| 9.5      | 60.5      | 27.178 |
| 9.5      | 61.5      | 27.351 |
| 9.5      | 62.5      | 27.526 |
| 9.5      | 63.5      | 27.702 |
| 9.5      | 64.5      | 27.873 |
| 9.5      | 65.5      | 28.029 |
| 9.5      | 66.5      | 28.161 |
| 9.5      | 67.5      | 28.259 |
| 9.5      | 68.5      | 28.314 |
| 9.5      | 69.5      | 28.319 |
| 9.5      | 70.5      | 28.267 |
| 9.5      | 71.5      | 28.145 |
| 9.5      | 72.5      | 27.934 |
| 9.5      | 73.5      | 27.614 |
| 9.5      | 74.5      | 27.193 |
| 10.5     | 55.5      | 26.145 |
| 10.5     | 56.5      | 26.322 |
| 10.5     | 57.5      | 26.477 |
| 10.5     | 58.5      | 26.631 |
| 10.5     | 59.5      | 26.788 |
| 10.5     | 60.5      | 26.947 |
| 10.5     | 61.5      | 27.113 |
| 10.5     | 62.5      | 27.287 |
| 10.5     | 63.5      | 27.471 |
| 10.5     | 64.5      | 27.658 |
| 10.5     | 65.5      | 27.836 |
| 10.5     | 66.5      | 27.991 |
| 10.5     | 67.5      | 28.107 |
| 10.5     | 68.5      | 28.173 |
| 10.5     | 69.5      | 28.18  |
| 10.5     | 70.5      | 28.123 |
| 10.5     | 71.5      | 27.992 |
| 10.5     | 72.5      | 27.771 |
| 10.5     | 73.5      | 27.448 |
| 10.5     | 74.5      | 27.05  |
| 11.5     | 55.5      | 26.045 |
| 11.5     | 56.5      | 26.156 |
| 11.5     | 57.5      | 26.271 |
| 11.5     | 58.5      | 26.407 |
| 11.5     | 59.5      | 26.555 |
| 11.5     | 60.5      | 26.708 |
| 11.5     | 61.5      | 26.869 |
| 11.5     | 62.5      | 27.042 |
| 11.5     | 63.5      | 27.23  |
| 11.5     | 64.5      | 27.429 |
| 11.5     | 65.5      | 27.624 |
| 11.5     | 66.5      | 27.8   |
| 11.5     | 67.5      | 27.936 |
| 11.5     | 68.5      | 28.016 |
| 11.5     | 69.5      | 28.032 |
| 11.5     | 70.5      | 27.976 |
| 11.5     | 71.5      | 27.84  |
| 11.5     | 72.5      | 27.611 |
| 11.5     | 73.5      | 27.266 |
| 11.5     | 74.5      | 26.787 |
| 12.5     | 55.5      | 26.231 |
| 12.5     | 56.5      | 25.975 |
| 12.5     | 57.5      | 26.023 |
| 12.5     | 58.5      | 26.152 |
| 12.5     | 59.5      | 26.304 |
| 12.5     | 60.5      | 26.462 |
| 12.5     | 61.5      | 26.625 |
| 12.5     | 62.5      | 26.801 |
| 12.5     | 63.5      | 26.995 |
| 12.5     | 64.5      | 27.203 |
| 12.5     | 65.5      | 27.413 |
| 12.5     | 66.5      | 27.605 |
| 12.5     | 67.5      | 27.757 |
| 12.5     | 68.5      | 27.855 |
| 12.5     | 69.5      | 27.885 |
| 12.5     | 70.5      | 27.839 |
| 12.5     | 71.5      | 27.711 |
| 12.5     | 72.5      | 27.492 |
| 12.5     | 73.5      | 27.157 |
| 12.5     | 74.5      | 26.687 |
| 13.5     | 55.5      | 25.331 |
| 13.5     | 56.5      | 25.477 |
| 13.5     | 57.5      | 25.648 |
| 13.5     | 58.5      | 25.835 |
| 13.5     | 59.5      | 26.021 |
| 13.5     | 60.5      | 26.201 |
| 13.5     | 61.5      | 26.379 |
| 13.5     | 62.5      | 26.566 |
| 13.5     | 63.5      | 26.769 |
| 13.5     | 64.5      | 26.988 |
| 13.5     | 65.5      | 27.207 |
| 13.5     | 66.5      | 27.409 |
| 13.5     | 67.5      | 27.576 |
| 13.5     | 68.5      | 27.69  |
| 13.5     | 69.5      | 27.736 |
| 13.5     | 70.5      | 27.71  |
| 13.5     | 71.5      | 27.612 |
| 13.5     | 72.5      | 27.443 |
| 13.5     | 73.5      | 27.153 |
| 13.5     | 74.5      | 26.426 |
| 14.5     | 55.5      | 24.555 |
| 14.5     | 56.5      | 24.896 |
